epoch,train_loss_list,train_acc_list,val_loss_list,val_acc_list,time_elapsed
1,1.8534937272071839,0.3308333333333333,0.9044018538792928,0.643,1m6s
2,0.6452842132250468,0.747375,0.4787721793651581,0.815,2m9s
3,0.43056758753458657,0.8361875,0.3791405789057414,0.85975,3m12s
4,0.3503047870794932,0.8694791666666667,0.3391059496402741,0.87775,4m16s
5,0.29791139014561974,0.8897291666666667,0.2947381087144216,0.8938333333333334,5m22s
6,0.281357164144516,0.8952083333333334,0.2881955205599467,0.89275,6m29s
7,0.2564308849175771,0.9046041666666667,0.2596325735251109,0.90375,7m37s
8,0.2390740689833959,0.9111041666666667,0.2491486942768097,0.9085833333333333,8m47s
9,0.22340788078308105,0.9159375,0.2463778205315272,0.9114166666666667,9m58s
10,0.2123561198314031,0.9210833333333334,0.2437694307565689,0.9118333333333334,11m9s
11,0.20614836593468985,0.9230416666666666,0.2322666776974996,0.915,12m20s
12,0.19455000086625418,0.9275,0.22341094462076824,0.91625,13m30s
13,0.18234069621562957,0.9329166666666666,0.2381673370997111,0.91525,14m38s
14,0.17731863888104757,0.9333333333333333,0.2331860468784968,0.91875,15m47s
15,0.16599436410268148,0.9379791666666667,0.22893330260117847,0.92225,16m57s
16,0.15321416540940602,0.9429166666666666,0.21726441991329193,0.92025,18m7s
17,0.14797752952575682,0.9448333333333333,0.2303962997198105,0.921,19m17s
18,0.14020438027381896,0.9472708333333333,0.22563087590535483,0.91925,20m27s
19,0.13109946676095327,0.9515833333333333,0.22746901563803354,0.923,21m38s
20,0.1196243342757225,0.9558541666666667,0.21832537579536437,0.9249166666666667,22m48s
21,0.11689907348155976,0.9561041666666666,0.2403669567902883,0.9191666666666667,23m58s
22,0.1080615183711052,0.9602083333333333,0.2297863887945811,0.9241666666666667,25m8s
23,0.10132993338505428,0.9622291666666667,0.23640366101264954,0.9210833333333334,26m18s
24,0.09541650837659836,0.9638333333333333,0.26874563737710316,0.9175833333333333,27m26s
25,0.09161922218402227,0.9656666666666667,0.25688365936279295,0.9236666666666666,28m38s
