epoch,train_loss_list,train_acc_list,val_loss_list,val_acc_list,time_elapsed
1,0.6507508704662323,0.7483333333333333,0.3614900014400482,0.8660833333333333,1m42s
2,0.33401076527436574,0.8778125,0.27869266295433043,0.8950833333333333,3m23s
3,0.2888831843535105,0.8936666666666667,0.27734222650527957,0.89475,5m5s
4,0.26097146689891815,0.903,0.2595664188861847,0.9029166666666667,6m48s
5,0.24423781754573187,0.9095,0.25644606053829194,0.90625,8m29s
6,0.22150359954436621,0.9184375,0.25557657066981,0.9081666666666667,10m12s
7,0.20658290908734003,0.92325,0.2401129601796468,0.9153333333333333,11m54s
8,0.1966370656490326,0.9260625,0.24977105522155763,0.91325,13m37s
9,0.18378126347064971,0.9311666666666667,0.23899594434102375,0.9185833333333333,15m21s
10,0.16949100311597187,0.9366666666666666,0.24605460119247435,0.9160833333333334,17m2s
11,0.1649809948503971,0.9372291666666667,0.2706696036656698,0.9145833333333333,18m44s
12,0.1574695348739624,0.940625,0.22921043717861175,0.92175,20m25s
13,0.1380788548986117,0.9474791666666667,0.25431450096766156,0.9199166666666667,22m8s
14,0.13299949219822885,0.9493541666666667,0.24864975666999817,0.92075,23m49s
15,0.12892155222098034,0.9512916666666666,0.2545047910610835,0.92125,25m30s
16,0.11457467490931351,0.956875,0.2720378149350484,0.9186666666666666,27m11s
17,0.1136455388913552,0.95925,0.2619056013226509,0.9245833333333333,28m53s
18,0.10258071613063414,0.9621458333333334,0.28402246967951456,0.9239166666666667,30m35s
19,0.10291162190337975,0.96225,0.28175352239608764,0.9193333333333333,32m17s
20,0.09461635184784731,0.965625,0.27969613287846246,0.9236666666666666,33m58s
21,0.08967600806057453,0.9670208333333333,0.30481344342231753,0.923,35m39s
22,0.08712859406570593,0.9686458333333333,0.31003422955671944,0.919,37m22s
23,0.07071484753737847,0.9742708333333333,0.30402601210276287,0.9249166666666667,39m3s
24,0.0818161531885465,0.9704375,0.3226616013844808,0.9185,40m44s
25,0.07964171331748367,0.9713125,0.3074471770922343,0.91975,42m27s
